QTY,Description,Note/Carrier,Face or Leg,Offset Type,Horizontal,Lateral,Vertical,Azimuth Adjustment(degree),Placement(ft),CaAa Front (No Ice) ft^2,"CaAa Front (1/2"" Ice) ft^2",CaAa Side (No Ice) ft^2,"CaAa Side (1/2"" Ice) ft^2",Weight (No Ice) Weight,"Weight (1/2"" Ice) Weight"
77,"NOKIA AHFII,(TMO)",TMO,B, FromLeg,0.000,3.000,0.000,0.0000,280.000,3.700,3.227,1.771,1.407,0.119,0.072
78,"CERAGON,IP20D-HP11 -80X-A-4501",,Cc,From Leg,0.000,3.000,0.000,0.0000,280.000,3.700,1.187,1.771,0.449,0.119,0.027
79,Strobe Light,,C, FromLeg,0.000,0.500,0.000,0.0000,221.000,5.600,5.600,1.400,1.400,0.080,0.050
80,"NOKIA AHFII,(TMO)",TMO,B, FromLeg,0.000,3.000,0.000,0.0000,280.000,3.700,3.227,1.771,1.407,0.119,0.072
81,"OE,1/3 REMAINING,RESERVED RIGHTS,(TMO)",TMO,B,From Leg,4.000,0.000,0000,0.0000,280.000,19.570,22.960,19.570,22.960,0.209,0.313
82,"L-810 Side Light E,(Tower)",Tower,B,From Leg,0.00,0.50,0.00,0.0000,125.00,0.36,0.20,0.36,0.20,8.86,3.00
83,"(2) JIMA MX06FHG865 w/ f,MP,(Verizon)",Verizon,A,FromLeg,3.00,0.00,0.00,0.0000,250.00,11.61,12.23,9.86,11.28,80.20,169.27
84,"(2) IMA MXO6FHG865w/ =— ss E,MP,(Verizon)",Verizon,B,From Leg,3.00,0.00,0.00,0.0000,250.00,11.61,12.23,9.86,11.28,80.20,169.27
85,"Lighting Rod C,(Tower)",Tower,Cc,None,,,,0.0000,250.00,1.00,0.00,1.00,0.00,1.00,1.30
86,"Beacon C,(Tower)",Tower,Cc,None,,,,0.0000,250.00,2.00,2.50,2.00,2.50,20.00,30.00
87,"(2) IMA MAQOFHGSO) Wh,MP,— — (Verizomny",,A,£FromLeg,3.00,0.00,0.00,,,11.01,12.23,7.90,11.28,.20,169.27
88,"L-810 Side Light C,(Tower)",Tower,C,FromLeg,0.50,0.00,0.00,0.0000,125.00,0.20,0.28,0.20,0.28,3.00,5.93
89,"L-810 Side Light A,(Tower)",Tower,A,From Leg,0.50,0.00,0.00,0.0000,125.00,0.20,0.28,0.20,0.28,3.00,5.93
90,"L-$10 Side Light E,(Tower)",Tower,B,From Leg,0.50,0.00,0.00,0.0000,125.00,0.20,0.28,0.20,0.28,3.00,5.93
91,"L-310 Side Light r,(Tower)",Tower,B,£From Leg,0.50,0.00,0.00,,,0.20,0.28,.20,0.28,3.00,5.93
92,"Site Pro 1 VFA10-HD [1] E,(Verizon)",Verizon,B, FromLeg,0.00,1.50,0.00,0.0000,250.00,23.90,10.60,23.90,10.60,907.00,633.00
93,"Site Pro 1 VFA10-HD [1] C,(Verizon)",Verizon,C, FromLeg,0.00,1.50,0.00,0.0000,250.00,23.90,10.60,23.90,10.60,907.00,633.00
94,"Raycap RCMDC-3315-PF48 (,(Venzon)",Venzon,C, FromLeg,0.00,3.00,0.00,0.0000,250.00,4.58,4.06,3.58,3.10,77.00,0.03
95,"Site Pro1 VFA10-HD[1),(Verizon)",Verizon,A,FromLeg,0.00,1.50,0.00,0.0000,250.00,4.58,10.60,3.58,10.60,77.00,633.00
